id,pesan,kategori,label
9823,"Bapak pernah ngerasain mati lampu gak, terus pernah ngerasain gak ada air untuk cebok?",Percakapan Biasa,Tidak Berisiko
9824,ak putar speed 2x masih gk ketolong,Percakapan Biasa,Tidak Berisiko
9825,aku jd gabisa main epep om…,Percakapan Biasa,Tidak Berisiko
9826,sekarang jambi mati lampu lg,Percakapan Biasa,Tidak Berisiko
9827,"maaf maafannya nanti aja pas lebaran, sekarang minimal ada yang ditahan, atau paling gak dicopot dari jabatan",Percakapan Biasa,Tidak Berisiko
9828,caiiirrr,Percakapan Biasa,Tidak Berisiko
9829,kalau telat bayar bisa minta maaf ga?,Transaksi Aman,Tidak Berisiko
9830,"malah minta maaf ,mundurlahh dr jabatan jgn cuma minta maaf",Percakapan Biasa,Tidak Berisiko
9831,kalo telat bayar di putus.,Transaksi Aman,Tidak Berisiko
9832,"gamao akuu ya, aku tidur sambil kipas pake tangan sampe keringatan",Percakapan Biasa,Tidak Berisiko
9833,"Sampai Saat ini jam 17:13 Wib daerah sy juga belum menyala listrik nya, di Kelurahan Medan amplas.😢",Jadwal & Kegiatan,Tidak Berisiko
9834,"Singkat saja, Isi la token masal kami pak. Aman nya itu",Percakapan Biasa,Tidak Berisiko
9835,wilayah tengah kota lapangan Merdeka medan barat belum merata ada yg hampir 24 jam Bravo pln,Informasi Umum,Tidak Berisiko
9836,otomatis ada discon dongh,Percakapan Biasa,Tidak Berisiko
9837,"Ikankuu yg di freezer jadi baukkkkk, tanggungn jawab gak klennn @PLN",Informasi Umum,Tidak Berisiko
9838,ap mau kayak kemarin 3 hari,Percakapan Biasa,Tidak Berisiko
9839,kami juga minta maaf telat bayar jangan di denda ya.,Transaksi Aman,Tidak Berisiko
9840,apakah ada part 2 nya,Percakapan Biasa,Tidak Berisiko
9841,taik lama kali daerah ku idup 😭,Percakapan Biasa,Tidak Berisiko
9842,Pegasing Aceh Tengah sampai detik ini belum hidup... Nyaris 24 jam,Percakapan Biasa,Tidak Berisiko
9843,kenapa indonesia... berqsa di sabotase jir... besok tinggal nunggu berita kilang minyak mbeleduk ini mah,Jadwal & Kegiatan,Tidak Berisiko
9844,[Stiker] Ywdah intinya kpn normalnya bapak2🙏🏻,Percakapan Biasa,Tidak Berisiko
9845,dari sore sampai hari ini masih mati ini,Percakapan Biasa,Tidak Berisiko
9846,Ngak ada maaf2! Apa yang kalian sembunyikan?😡,Percakapan Biasa,Tidak Berisiko
9847,denda nya apa.....,Percakapan Biasa,Tidak Berisiko
9848,"gak mau maafin
:panazzzzzzzzzzzzzzzz😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",Percakapan Biasa,Tidak Berisiko
9849,pak kapan listrik stabil,Informasi Umum,Tidak Berisiko
9850,Disini dari siang blm hidup pak panass😭🔥,Percakapan Biasa,Tidak Berisiko
9851,korupsinya kurang makanya begitu listriknya,Percakapan Biasa,Tidak Berisiko
9852,gpp kita bisa liat milky way lagi,Percakapan Biasa,Tidak Berisiko
9853,karna tempat ku jam 12 kurang udah hidup jadi aku maapin pak,Jadwal & Kegiatan,Tidak Berisiko
9854,[Stiker] gara gara kau aku tidur di kegelapan 😭 @R,Percakapan Biasa,Tidak Berisiko
9855,"18:45 WIB mati lampu, hidup lampu jam 17:00 WIB. Apa ga hampir seharian. Ini daerah asahan, bagian rahuning1",Jadwal & Kegiatan,Tidak Berisiko
9856,"gmau, karna pemadaman listrik aku gbisa masak nasi, gada jaringan pesen makanan jadi kambuh gerdku. Skrg tanggung jawab",Informasi Umum,Tidak Berisiko
9857,[Stiker] yang pake PLTS,Percakapan Biasa,Tidak Berisiko
9858,"kami beri maaf pak,
tapi kami menduga2 apa tidak sengaja atau sandiwara dari petinggi2 kita pak.......soalnya banyak orang menduga2 seperti itu pak.
apa tidak ada kan pak yang sdng berjalan pada saat mati lampu tersebut.",Percakapan Biasa,Tidak Berisiko
9859,"heh modal maaf doang, disini pabrik banyak yg ga produksi ujung-ujungnya para karyawan juga ga masuk, siapa yg mau gantiin gaji sehari woy😭😭 sepele sih tapi berharga buat kami anak"" kos😒😒",Percakapan Biasa,Tidak Berisiko
9860,Lampung Ngk di sebut ny ih gak kami maafkan nanti,Percakapan Biasa,Tidak Berisiko
9861,"YANG BULANAN RUGIII.
GANTI WOII",Percakapan Biasa,Tidak Berisiko
9862,udah jujur aja berapa ton barang itu yang udah gol. Emang sengaja ini mati listriknya malam hari.Emang masuk tuh barang,Percakapan Biasa,Tidak Berisiko
9863,kompensasi gaada😂,Percakapan Biasa,Tidak Berisiko
9864,Rugi Besar Tadi Mlm Gua banyak yg maling 😭😭😭,Percakapan Biasa,Tidak Berisiko
9865,[Stiker] gamau maapin...aku lagi makan tiba matilampu.nasiku dimakan kucing,Percakapan Biasa,Tidak Berisiko
9866,"keliahatan banget ya jaman sekarang, orang2 banyak gak bisa menjalani hidup santai kalau tidak ada listrik sama internet, di kira bekerja di PLN itu enak, masih mending 1 hari atau beberapa hari",Informasi Umum,Tidak Berisiko
9867,"gak usah banyak ini itu, gratis pembayaran 2 bulan gitu",Transaksi Aman,Tidak Berisiko
9868,"Kalian hanya minta maaf tanpa memberi kompesasi, sedangkan rakyat,,??",Percakapan Biasa,Tidak Berisiko
9869,"maaf ya,aku gabisa maaffinn",Percakapan Biasa,Tidak Berisiko
9870,pakettt 🤣,Percakapan Biasa,Tidak Berisiko
9871,kami hampir 24jam bosku,Percakapan Biasa,Tidak Berisiko
9872,"bayar listrik harga elite, maintenance sulit , chakkksssss",Transaksi Aman,Tidak Berisiko
9873,aturlah,Percakapan Biasa,Tidak Berisiko
9874,mati lampu nggak PP pak asal jgn hilang kan jaringan,Percakapan Biasa,Tidak Berisiko
9875,gara uwak ini aku nahan lapar 22 jam karna gk punya uang cash😌 mau gofood gk ada jaringan batre sekarat👊🏻,Percakapan Biasa,Tidak Berisiko
9876,smpe skrg blm hidup lampu kami. UD mw 24jam😭 wifi mati ketika hujan petir td malam. pdhl masih bsa dimainkan. asli air habis kering gara2 mati lampu. mati lampu air pun mati😭😭,Percakapan Biasa,Tidak Berisiko
9877,kami jam 11 siang Sabtu baru hidup dari jam 7 malam hari Jumat. Harini siap pln mati air pula blom hidup 😂😂sampai sore air blom ada,Kata Kasar & Ancaman,Berisiko
9878,"masyarakat telat bayar listrik langsung di cabut,tapi kalau masyarakat ya dirugikan seperti ini tidak ada kompensasi dari pihak pln",Transaksi Aman,Tidak Berisiko
9879,"malming ini pak, jgn mati lampu lgi ya pls😭😭",Percakapan Biasa,Tidak Berisiko
9880,Yang percaya ufo,Percakapan Biasa,Tidak Berisiko
9881,"hidup ga dipuji, mati dimaki-maki",Percakapan Biasa,Tidak Berisiko
9882,Giliran telat bayar ancaman mau di putus dan bilang PLN rugi giriran listrik padam minta maaf bnyk yg dj jelasin la,Transaksi Aman,Tidak Berisiko
9883,minta maaf doank? mundur lah,Percakapan Biasa,Tidak Berisiko
9884,"sangking panasnya ,tidurpun kipasan pakai sobekan kardus 😂🤣",Percakapan Biasa,Tidak Berisiko
9885,DKIT² MAAF...🤣,Percakapan Biasa,Tidak Berisiko
9886,kota binjai baru nyala jam 14:30 siang tadi,Jadwal & Kegiatan,Tidak Berisiko
9887,logika saja apakah listrik di Jambi satu aliran dgn Sumatra..?,Informasi Umum,Tidak Berisiko
9888,tempat kami udh 1 hari 1 mlm,Percakapan Biasa,Tidak Berisiko
9889,Maaf kalau saya boleh bertanya emangnya kok bisa satu malam satu hari tidak hidup listrik kami kesusahan maaf sekali lagi saya cuma bertanya doang jangan sampai terjadi lagi,Informasi Umum,Tidak Berisiko
9890,22 jam 😭 berasa baru muncul dari Goa asli,Percakapan Biasa,Tidak Berisiko
9891,"gak mau maafin, aku gk bisa kipasan sm nonton pokemon",Percakapan Biasa,Tidak Berisiko
9892,"jangan dimaafin guys, dah tau riau se angek itu malah dibikin lampu disko sama pln shiballl",Informasi Umum,Tidak Berisiko
9893,dak nak,Percakapan Biasa,Tidak Berisiko
9894,lampung juga coy,Percakapan Biasa,Tidak Berisiko
9895,pengalihan isu wkwk,Percakapan Biasa,Tidak Berisiko
9896,penyebabnya adalah kebobrokan para pejabat PLN,Informasi Umum,Tidak Berisiko
9897,"lolos berapa ton itu wak? menderita kami 20 jam mandi keringat, nahan berak, ga bisa mandi healahhh",Percakapan Biasa,Tidak Berisiko
9898,@dim⚡,Percakapan Biasa,Tidak Berisiko
9899,EPEP GUA HONOR WOI!!!!,Percakapan Biasa,Tidak Berisiko
9900,di Tungkal provinsi Jambi jam 22.31 idup bang sampai sekarang GK mati mati lampu lagi,Jadwal & Kegiatan,Tidak Berisiko
9901,Sumatera Selatan jg loh pak,Percakapan Biasa,Tidak Berisiko
9902,kalau lambat bayar 1hari saja dimatikan. klw salah cmn minta ma'af. ganti juga donk kerugian orang,Transaksi Aman,Tidak Berisiko
9903,@D'derry Shop,Percakapan Biasa,Tidak Berisiko
9904,Pecat ajala,Percakapan Biasa,Tidak Berisiko
9905,bujang inam,Percakapan Biasa,Tidak Berisiko
9906,pak sungai rumbai masih masuk dharmasraya sumatra barat nih pak bukan jambi,Percakapan Biasa,Tidak Berisiko
9907,Binjai dari jam 6 sampai setengah 3,Jadwal & Kegiatan,Tidak Berisiko
9908,gara gara dia ..aq jadi santapan nyamuk ..dr malam sampai pagi,Percakapan Biasa,Tidak Berisiko
9909,"gamau , aku ngerjain tugas jadi harus nyari"" colokan charger sama wifi jauh""😭",Percakapan Biasa,Tidak Berisiko
9910,G habis2 masalah negeri konohw ini,Percakapan Biasa,Tidak Berisiko
9911,di tem pat kami jam 4 sore,Jadwal & Kegiatan,Tidak Berisiko
9912,"enak ya minta maaf, kompensasi dari masalah itu ada gak",Percakapan Biasa,Tidak Berisiko
9913,"gelap gulita dah toko"" kecil pak tadi malam",Percakapan Biasa,Tidak Berisiko
9914,"betul, giliran telat bayar denda garcep,,giliran kalin padamin apa imbal baliknya😊",Transaksi Aman,Tidak Berisiko
9915,"Kompensasi” mana, enak bagt giliran kami gappa rugi, kalian rugi ga mau,",Percakapan Biasa,Tidak Berisiko
9916,"inilah pemerintah. Salah dikit minta maaf, kalau di perusahaan ku, atasan kayak gini langsung dipecat😂😂😂",Percakapan Biasa,Tidak Berisiko
9917,musi banyuasin dari magrib sampe pagi blom nyala,Percakapan Biasa,Tidak Berisiko
9918,Hai PLN..kita bayar hrs tepat waktu tdk blh nunggak..tp knp listrik sering mati seenak jidat,Transaksi Aman,Tidak Berisiko
9919,inikah indonesia emas?,Percakapan Biasa,Tidak Berisiko
9920,"gara"" kebykkn kuropsix",Percakapan Biasa,Tidak Berisiko
9921,"Ngak mau😏 , mana baru siap operasi perih njirr kena keringat",Percakapan Biasa,Tidak Berisiko
9922,tor te ho di maafon,Percakapan Biasa,Tidak Berisiko
9923,kita telah berada di masa dimana peristiwa permintaan maaf jadi memuakkan!,Percakapan Biasa,Tidak Berisiko
9924,Kau kiraa cukup minta maaf???,Percakapan Biasa,Tidak Berisiko
9925,"itu alasan aja, mati lampu se-sumatra itu dah di prediksi lord Rangga, bahwasanya se-sumatra akan gelap, mati lampu total selama 7 hari",Kata Kasar & Ancaman,Berisiko
9926,tempat sy pagi juga mati lagi..baru hidup jam 1 siang. katanya malam NNT mati lagi,Jadwal & Kegiatan,Tidak Berisiko
9927,udah mati lampu lagi guys tempat kalian?,Percakapan Biasa,Tidak Berisiko
9928,Aceh Utara baru idup ni,Percakapan Biasa,Tidak Berisiko
9929,@Cb-hijau,Percakapan Biasa,Tidak Berisiko
9930,SUMATRA TERUSSS PRASAAN PAK,Percakapan Biasa,Tidak Berisiko
9931,pak saya bermohon jangan matikan lagi lampu nya dari pasaman barat,Percakapan Biasa,Tidak Berisiko
9932,Gak masuk akal..ini pasti akal akalan aja ini PLN..,Informasi Umum,Tidak Berisiko
9933,tp tmpt aq dak mati lampu kok pak tp itu tdi sinyal kami mpot mpotan,Percakapan Biasa,Tidak Berisiko
9934,kami di Aceh baru sekarang hidupnya,Percakapan Biasa,Tidak Berisiko
9935,da batrai hp dn abi,Percakapan Biasa,Tidak Berisiko
9936,pak pikirkan bagian jalur jalur pak masak katanya p l n bukanya senang malah lampu aja jm 12 malam bari bisa nyala itu merugikan konsumen pak kami konsumen GK puas dengan kehidupan lampu p l n,Percakapan Biasa,Tidak Berisiko
9937,"yang penting pak malam ini Uda bisa selesai kalau gak
hari ini aja lumayan kerugian kami
aku aja pak tukang jahit 6 potong jas
kerugianku pak 3juta perjas itulah kerugian saya hari ini",Percakapan Biasa,Tidak Berisiko
9938,"enaknya tinggal minta maaf,,, kok gak dikasih kompensasi. klo lambat bayar aja langsung kena denda",Transaksi Aman,Tidak Berisiko
9939,klo telat bayar listrik boleh gak minta maaf pak..supaya jngan di potong arus nya,Transaksi Aman,Tidak Berisiko
9940,Semangat pak jng mati listrik malam ini ya,Informasi Umum,Tidak Berisiko
9941,"gpp pak di maaf kan, kasih aja gratis listrik sebulan aja",Informasi Umum,Tidak Berisiko
9942,gara gara inii aku gaa ikut zoom tuwebb aaaaa😭😭😭😭,Percakapan Biasa,Tidak Berisiko
9943,Berarti rugi lagi PLN ya,Informasi Umum,Tidak Berisiko
9944,hampir 24 jam di sini kurang 2 jam lagi pas la 24 jam😭,Percakapan Biasa,Tidak Berisiko
9945,PLN terlena sibuk korupsi di segajakan kali ada yang masuk Tampa penerangan,Informasi Umum,Tidak Berisiko
9946,bro paket AXIS yg aku beli 100k hangus karna mati lampu,Percakapan Biasa,Tidak Berisiko
9947,giliran byr telat di tagih',Percakapan Biasa,Tidak Berisiko
9948,"bayar listrik, MALAH DIPAKE buat MBG",Transaksi Aman,Tidak Berisiko
9949,"atau ini pengalihan isu yg kemarin kh ini
yang dolar gak kepake di kampung😏",Percakapan Biasa,Tidak Berisiko
9950,1 jam saja mati lampu sudah melumpuhkan perekonomian seluruh sejabodetabek satu jam saja mati sama saja kami kehilangan beras 1 kg yg mna 1 kg itu amat berharga bagi kami yg serba keterbatasan,Kata Kasar & Ancaman,Berisiko
9951,gara² kamu aku jadi nga tau waktu azan sama sholatt tauu😢,Percakapan Biasa,Tidak Berisiko
9952,gegara lampu hidup mati hidup mati kulkas rusak apa mau ngganti,Percakapan Biasa,Tidak Berisiko
9953,wehhh rame nih Cok yg komen baru hidup like komen ku gusyy,Kata Kasar & Ancaman,Berisiko
9954,"hp lah lobet, lampu dak nyala², aku nak main ml oy blm imo",Percakapan Biasa,Tidak Berisiko
9955,ga akan ku maafin gara gara lu gw lose streak😭,Percakapan Biasa,Tidak Berisiko
9956,dari jam 1 siang belum hidup Sampek sekarang susulan mati tadi malam bujang bujang,Jadwal & Kegiatan,Tidak Berisiko
9957,di sini baru hidup 😭😭😭,Percakapan Biasa,Tidak Berisiko
9958,dulu di Lampung begini tahun kmrn 1 Minggu ada susah gx ada air gx ada listrik mandi bulak balik tempat ortu,Informasi Umum,Tidak Berisiko
9959,seketika lupa harga sawit dengan matikan lampu😅,Percakapan Biasa,Tidak Berisiko
9960,Tempat kami sampai sekarang belum hidup😭,Percakapan Biasa,Tidak Berisiko
9961,dia kira lampung engga kena,Percakapan Biasa,Tidak Berisiko
9962,"gara2 x an pak,d indrapura ad yg ninggl karyawan penjaga toko ACC ninggl 2 org kritis 2 org.krna keracunan dri nginset.",Percakapan Biasa,Tidak Berisiko
9963,gak mau kumaafin ya satu hari satu malam gak bisa kekamar mandi aku,Percakapan Biasa,Tidak Berisiko
9964,gara' kau aku dk bisa epep an,Percakapan Biasa,Tidak Berisiko
9965,Aku nanti beli token di pln pake kata maaf aja bisa pak?????,Informasi Umum,Tidak Berisiko
9966,"dari sini kita tau,kalok nantinya semua"" nya pakai listrik,manusia akan mentuhankan yg namanya tombol on/off",Informasi Umum,Tidak Berisiko
9967,uwek aman aku maaf ke nah nak ngina batri hp ku abes pak🗿,Percakapan Biasa,Tidak Berisiko
9968,bayar harus tepat waktu molor dikit ancaman nya di putus giliran listrik mati tidak segera di tangani.,Transaksi Aman,Tidak Berisiko
9969,Lampung juga kena pak masa kagak fi Sebut geh,Percakapan Biasa,Tidak Berisiko
9970,santai aja bree😁,Percakapan Biasa,Tidak Berisiko
9971,semalam aku ngungsi kerumah kawan aku anjir gara² mti lampu anak bayi aku nangis trs lantak mati lampu edop jam 1 nak gile,Kata Kasar & Ancaman,Berisiko
9972,Lampung gk di sebut kah,Percakapan Biasa,Tidak Berisiko
9973,berapa ton yg lepas pak🙏,Percakapan Biasa,Tidak Berisiko
9974,Dah di bilang pas draft pick ban HC,Percakapan Biasa,Tidak Berisiko
9975,"ini mati lagii tauuu wakk di daerah siantarrr, mau ngerjain tugasss inii wakk idup kan duluu lahhh [sulk]",Percakapan Biasa,Tidak Berisiko
9976,setiap mesin setiap alat. sama manusia pasti ada salahnya kerusakannya . kmu maaf pin pak,Percakapan Biasa,Tidak Berisiko
9977,Batre ada wifi mati beli paket jaringan gk bagus 🫡,Percakapan Biasa,Tidak Berisiko
9978,jambi daerah mana dah baru dengar🗿,Percakapan Biasa,Tidak Berisiko
9979,"kebangetan ya pak, semaleman gelap gulita",Percakapan Biasa,Tidak Berisiko
9980,tempat ku jam 3 baru idop,Jadwal & Kegiatan,Tidak Berisiko
9981,Gak mau minta maaf aja. Banyak yg kalian harus Gati rugi sama kami,Percakapan Biasa,Tidak Berisiko
9982,"udah jujur aja, berapa ton yg masuk?🤭",Percakapan Biasa,Tidak Berisiko
9983,gk mau di maafin😭 aku gk bisa mandi gk bisa masak nasi gak bisa nyuci karena air tdk ada dan kami tdk punya stok air😭😭 kami juga kepanasan 😭😭,Percakapan Biasa,Tidak Berisiko
9984,kok di situ ngk mati lampu?,Percakapan Biasa,Tidak Berisiko
9985,"gk bisa, kami telat bayar aja. tiada maaf. masak iya kami lgsg maafin😁",Transaksi Aman,Tidak Berisiko
9986,[Stiker] tempatku hiduppp,Percakapan Biasa,Tidak Berisiko
9987,"udah, intinya kapan normal?",Percakapan Biasa,Tidak Berisiko
9988,sumatera selatan dag disebut kita semalam gelap2an pak 😭,Percakapan Biasa,Tidak Berisiko
9989,Terpantau sampai saat ini disini belum hidup lampuu,Percakapan Biasa,Tidak Berisiko
9990,"BUJNG KW AKU LGI BERAQ TIBA"" MATI LAMPU",Percakapan Biasa,Tidak Berisiko
9991,"maaf doang,gada konfensasi 😏",Percakapan Biasa,Tidak Berisiko
9992,"hidupin lampu kami,kami susah gk bisa ngapain"" kami lapar gk bisa masak air gk ada",Percakapan Biasa,Tidak Berisiko
9993,ɢᴀᴍᴀᴜ ᴍᴀᴀғɪɴ ɢᴡ sʙɴʀ ɴʏᴀ ᴍᴀᴜ ʙᴡᴋ ʜᴘ ᴋᴇ sᴇᴋᴏʟᴀʜ ᴛᴀᴘɪ ʙᴀᴛᴇʀᴀɪ ᴅɪᴋɪᴛ ᴍᴀʟᴀʜ ᴍᴀᴛɪ ʟᴀᴍᴘᴜ ᴘᴇɴɢᴇɴ ᴄᴀs ʜᴘ ᴅᴀɴ ᴀᴋ ᴛɪᴅᴜʀ ᴋᴇᴘᴀɴᴀsᴀɴ 😭,Percakapan Biasa,Tidak Berisiko
9994,udalah hidupin cepatt pakk udah hampir 24 jam ini gak hidup hidup😭,Percakapan Biasa,Tidak Berisiko
9995,maaf doang mah enak ngomong nya😹,Percakapan Biasa,Tidak Berisiko
9996,"semalam aku lgi beli buah ditoko buah,malah mati lampu om,sampai jam 1 malam.kok gak dsebut Palembang nya om",Jadwal & Kegiatan,Tidak Berisiko
9997,"dimana kerusakan yg skala besar itu,masukkan ke tv nasional,jangan banyak cerita",Percakapan Biasa,Tidak Berisiko
9998,lamsel kena giliran mati lampu🤣,Percakapan Biasa,Tidak Berisiko
9999,sore ini mati lampu jga itu knp ya mo,Percakapan Biasa,Tidak Berisiko
10000,"jgn matiin lg ya pak, saya gk tdr gara2 kipasin pp saya yg lg sakit.bayangin pak dr malam sampe pgi ngipasin ortua yang rewel 😭😭",Percakapan Biasa,Tidak Berisiko
10001,Daerah rumahku 24jam blm idup jugaa woi,Percakapan Biasa,Tidak Berisiko
10002,gara gara WA ang indak karajo den tadi malam,Percakapan Biasa,Tidak Berisiko
10003,di jambi alhamdulilah kemarin jam 7 malam jam 3 pagi sdh hidup,Jadwal & Kegiatan,Tidak Berisiko
10004,minta maaf???segampang itu ya!!??😏,Percakapan Biasa,Tidak Berisiko
10005,gk mau di maafin gua lagi mandi tiba² mati lampu,Percakapan Biasa,Tidak Berisiko
10006,ooop YTTA,Percakapan Biasa,Tidak Berisiko
10007,"smpai kini di sijunjung masih alun iduik lai do pak, dri malam ptang lai mh😑",Percakapan Biasa,Tidak Berisiko
10008,"next Mati lagi dari jam 4 Sore😭
sumsel",Jadwal & Kegiatan,Tidak Berisiko
10009,gak gw maafin kecuali kasih modal 100k,Percakapan Biasa,Tidak Berisiko
10010,"Maaf doang, ga mikirin orng rugi pak, eskrim memeleh ga bisa di jual. Ikan ikan pada mati. Ngomong maaf doang gampang.",Percakapan Biasa,Tidak Berisiko
10011,di sibiru² ga hidup² sampe skrg,Percakapan Biasa,Tidak Berisiko
10012,gak bayar sebulan tagihan PLN jgn maap doang rugiku cemanapak jgn menang sendiri,Transaksi Aman,Tidak Berisiko
10013,bendak benduk,Percakapan Biasa,Tidak Berisiko
10014,"gk logika..
kmaren banjir mati lampu sharian tidak sprti nie",Percakapan Biasa,Tidak Berisiko
10015,telat bayar listrik bisa minta maaf gak?,Transaksi Aman,Tidak Berisiko
10016,gak mau gara gara Kelen habis dana ku🗿,Transaksi Aman,Tidak Berisiko
10017,"gara gara kamu pak, aku ga bisa marapthon khw😞",Percakapan Biasa,Tidak Berisiko
10018,"Gadak maaf2 pak , udh banyak yg merugi gara gara kalian",Percakapan Biasa,Tidak Berisiko
10019,24jam pas pak baru hidup. Bayar mahal mahal listrik tapi mati udah sempat jadi simala ini pak😏,Transaksi Aman,Tidak Berisiko
10020,"gara2 mati lampu,penyakit JD kumat dan harus off beberapa Minggu ke depan😥",Jadwal & Kegiatan,Tidak Berisiko
10021,semoga aja gak mati lampu lagi,Percakapan Biasa,Tidak Berisiko
10022,"kesian banget yg dagangannya kayak tetanggaku ikan hiasnya pada mabok semua, yg dagang es krim juga pada cair",Percakapan Biasa,Tidak Berisiko
10023,"udah hidup susah ditambah susah lagi dengan hal hal kayak gini,lengkap sudah penderitaan ini.",Percakapan Biasa,Tidak Berisiko
10024,"sampai sekarang lo pak belum nyala listrik nya, udah 23 jam, mau sampek kapan lagi?",Informasi Umum,Tidak Berisiko
10025,lolos berapa ton pak,Percakapan Biasa,Tidak Berisiko
10026,gangguan pernapasan kali,Percakapan Biasa,Tidak Berisiko
10027,"Biasa ini woy, tiap tahun kan wajib ada",Percakapan Biasa,Tidak Berisiko
10028,baru idup anjay🗿,Percakapan Biasa,Tidak Berisiko
10029,"ga mau aku maafin ya pakde,gak bisa aku vc bobok",Percakapan Biasa,Tidak Berisiko
10030,"minta maaf aja nih,,,,, giliran telat bayar aja kalian gimana yaaaaa 😏",Transaksi Aman,Tidak Berisiko
10031,"kalau dilihat dari cara ngomongnya (lambat), penanganannya juga akan lambat..",Percakapan Biasa,Tidak Berisiko
10032,"gamau , SUSAH BELAJAR INI MAU UJIANNNNNNNNN",Percakapan Biasa,Tidak Berisiko
10033,Kami ada anak kecil😭,Percakapan Biasa,Tidak Berisiko
10034,rugi lagi tah pak....???,Percakapan Biasa,Tidak Berisiko
10035,"cuih cuma permohonan maaf, bayar listrik mahal mahal,",Transaksi Aman,Tidak Berisiko
10036,"sekarang kalo PLN nyala langsung was2 takut mati lagi, dari kemaren hidup mati terus",Informasi Umum,Tidak Berisiko
10037,tempat saya mati lagi pakkk🥺🥺,Percakapan Biasa,Tidak Berisiko
10038,di aceh jam 4 pagi🤣,Jadwal & Kegiatan,Tidak Berisiko
10039,"g mau maafin
di tempatku dari semalam magrib sampe skrg blum hidup jugaaa",Percakapan Biasa,Tidak Berisiko
10040,kalo ditempat saya listrik naik pak..tinggi bgt..tolong pak gaji guru kecil,Informasi Umum,Tidak Berisiko
10041,gamau aku maafin gara gara kelen tidur pun berkeringat awak,Percakapan Biasa,Tidak Berisiko
10042,"oii bujang, di sumut tlong di hidupin, disni udh matahari nya dkt, di tmbh lg listrik mati, panasss kaleeeee wee.",Informasi Umum,Tidak Berisiko
10043,tempat kami dari semalam mulai dari jam 6 smpai jam 6 pagi baru hidup🤦,Jadwal & Kegiatan,Tidak Berisiko
10044,"pakkk kapan hidup nyaaa paaakkk ,, tolonggg paakkkkk ,, bayi saya dri tadi rewel trus pakkk ,,saya hampir Beby bullsss paaaakkk",Percakapan Biasa,Tidak Berisiko
10045,Hitungan ton atau metri ton kah??,Percakapan Biasa,Tidak Berisiko
10046,maap doang 😂,Percakapan Biasa,Tidak Berisiko
10047,lah ini kan bukan kali pertama ya,Percakapan Biasa,Tidak Berisiko
10048,tidak akan di maafkan,Percakapan Biasa,Tidak Berisiko
10049,tempatku blm idup2 pak sampe sekarang 😱,Percakapan Biasa,Tidak Berisiko
10050,tensi nya terlalu tinggi ya pak,Percakapan Biasa,Tidak Berisiko
10051,"gamauu maafinn, aku ga bisa qris ga ada jaringan ATM mati ga bisa jajan gwwwwwww",Kata Kasar & Ancaman,Berisiko
10052,"knp gk ad pemberitahuan sebelum nya jd bs persiapan dulu sya pak😭
lain x klau ad pemadaman serentak hrs ad pemberitahuan dulu",Informasi Umum,Tidak Berisiko
10053,"Pokoknya ga mau mati lampu lg,gamau begadang krna kepanasan😥😥",Percakapan Biasa,Tidak Berisiko
10054,ini baru nyala di tempatku🙂,Percakapan Biasa,Tidak Berisiko
10055,kebiasaan pln selalu padam,Informasi Umum,Tidak Berisiko
10056,mundur jauh lebih terhormat daripada pidato panjang kali lebar 👎👎👎👎 kalau tidak sanggup silakan berikan tanggung jawab itu ke orang yang lebih mampu.,Percakapan Biasa,Tidak Berisiko
10057,sawit turun harga pak,Percakapan Biasa,Tidak Berisiko
10058,Tapi lain kali jadwalin dulu biar ada persiapan kmi nya🥺,Percakapan Biasa,Tidak Berisiko
10059,sepertinya ada misi rahasia 🗿,Percakapan Biasa,Tidak Berisiko
10060,PENYEBAB NYA APA PAK...!!!😳😳😳,Percakapan Biasa,Tidak Berisiko
10061,telat bayar boleh minta maaf GK pak😂,Transaksi Aman,Tidak Berisiko
10062,@David Nikolas Sihotang gara gara ini kita ga bisa sleepcall beb🤣,Percakapan Biasa,Tidak Berisiko
10063,nominal pasti gak main² yang lewat,Percakapan Biasa,Tidak Berisiko
10064,"Ngak mauuu , ngak bisa tidur ; panassssssssswwww",Percakapan Biasa,Tidak Berisiko
10065,"anakku baru plg dari RS,smlm mati lampu dia blg sesak,trpaksa kipas2 pake buku,mau bawa ke penginapan tp byk kendala...sesedih itu 😭",Percakapan Biasa,Tidak Berisiko
10066,PLN MAKIN GAK JELASS...,Informasi Umum,Tidak Berisiko
10067,"ya Pak di maafkan
semangat para pekerja yg bekerja
yg berusaha memperbaiki teknik sistem",Percakapan Biasa,Tidak Berisiko
10068,yg tau nya cuma minta maaf..giliran telat bayar dikit langsung datang ke rumah putusin listrik,Transaksi Aman,Tidak Berisiko
10069,Jadi yg lewat belakang kemarin udh smpe mana pak?,Percakapan Biasa,Tidak Berisiko
10070,klo ganguwan pembayaran bs gk pak oh tdk bs lgsung d putusin jd token sebelllll cuaca d salahin brarti menyalahkan Allah dong 😡😭,Transaksi Aman,Tidak Berisiko
10071,sesuai rute yg di lewati mati lampunya 🤣,Percakapan Biasa,Tidak Berisiko
10072,singkat saja berapa ton yang keluar/masukk?,Percakapan Biasa,Tidak Berisiko
10073,pak kami d kabupaten labuhan batu utara udah hampir 24 jam belum hidup listriknya😭,Percakapan Biasa,Tidak Berisiko
