pesan,kategori,label,step_casefolding,step_tokenisasi,step_stopword,step_stemming,teks_bersih
woiiikk kpan hidupnny,Percakapan Biasa,Tidak Berisiko,woiiikk kpan hidupnny,"['woiiikk', 'kpan', 'hidupnny']","['woiiikk', 'kpan', 'hidupnny']","['woiiikk', 'kpan', 'hidupnny']",woiiikk kpan hidupnny
"Tapi Kalau Ada Yg Telat Bayar/Nunggak, Gak Berlaku Ya Pak Maaf Nya.. Lansung Di Potong 😁",Transaksi Aman,Tidak Berisiko,"tapi kalau ada yg telat bayar/nunggak, gak berlaku ya pak maaf nya.. lansung di potong 😁","['tapi', 'kalau', 'ada', 'yg', 'telat', 'bayar', 'nunggak', 'gak', 'berlaku', 'ya', 'pak', 'maaf', 'nya', 'lansung', 'di', 'potong']","['kalau', 'telat', 'bayar', 'nunggak', 'berlaku', 'pak', 'maaf', 'lansung', 'potong']","['kalau', 'telat', 'bayar', 'nunggak', 'laku', 'pak', 'maaf', 'lansung', 'potong']",kalau telat bayar nunggak laku pak maaf lansung potong
yapping mulu gua jadi telat kerja,Percakapan Biasa,Tidak Berisiko,yapping mulu gua jadi telat kerja,"['yapping', 'mulu', 'gua', 'jadi', 'telat', 'kerja']","['yapping', 'mulu', 'gua', 'telat', 'kerja']","['yapping', 'mulu', 'gua', 'telat', 'kerja']",yapping mulu gua telat kerja
katanya MLM ini jam 12 mti lgi waspada,Jadwal & Kegiatan,Tidak Berisiko,katanya mlm ini jam 12 mti lgi waspada,"['katanya', 'mlm', 'ini', 'jam', 'mti', 'lgi', 'waspada']","['katanya', 'mlm', 'jam', 'mti', 'lgi', 'waspada']","['kata', 'mlm', 'jam', 'mti', 'lgi', 'waspada']",kata mlm jam mti lgi waspada
klau lampu GK byar dah 5 bulan boleh GK minta maaf ke PLN,Informasi Umum,Tidak Berisiko,klau lampu gk byar dah 5 bulan boleh gk minta maaf ke pln,"['klau', 'lampu', 'gk', 'byar', 'dah', 'bulan', 'boleh', 'gk', 'minta', 'maaf', 'ke', 'pln']","['klau', 'lampu', 'gk', 'byar', 'dah', 'bulan', 'gk', 'minta', 'maaf', 'pln']","['klau', 'lampu', 'gk', 'byar', 'dah', 'bulan', 'gk', 'minta', 'maaf', 'pln']",klau lampu gk byar dah bulan gk minta maaf pln
"Gamau ,gamau maafin",Percakapan Biasa,Tidak Berisiko,"gamau ,gamau maafin","['gamau', 'gamau', 'maafin']","['gamau', 'gamau', 'maafin']","['gamau', 'gamau', 'maafin']",gamau gamau maafin
medan asli 24 jam..ngeri..,Percakapan Biasa,Tidak Berisiko,medan asli 24 jam..ngeri..,"['medan', 'asli', 'jam', 'ngeri']","['medan', 'asli', 'jam', 'ngeri']","['medan', 'asli', 'jam', 'ngeri']",medan asli jam ngeri
KOMPENSASI!! RAKYAT TELAT BAYAR LANGSUNG DI PUTUS!!,Transaksi Aman,Tidak Berisiko,kompensasi!! rakyat telat bayar langsung di putus!!,"['kompensasi', 'rakyat', 'telat', 'bayar', 'langsung', 'di', 'putus']","['kompensasi', 'rakyat', 'telat', 'bayar', 'langsung', 'putus']","['kompensasi', 'rakyat', 'telat', 'bayar', 'langsung', 'putus']",kompensasi rakyat telat bayar langsung putus
Lampung ga lu sebutin,Percakapan Biasa,Tidak Berisiko,lampung ga lu sebutin,"['lampung', 'ga', 'lu', 'sebutin']","['lampung', 'lu', 'sebutin']","['lampung', 'lu', 'sebutin']",lampung lu sebutin
okey aku maaf kan kali ini 😡,Percakapan Biasa,Tidak Berisiko,okey aku maaf kan kali ini 😡,"['okey', 'aku', 'maaf', 'kan', 'kali', 'ini']","['okey', 'aku', 'maaf', 'kan', 'kali']","['okey', 'aku', 'maaf', 'kan', 'kali']",okey aku maaf kan kali
riau sudah banyak hutang jadi token listrik tidak tebeli lagi,Informasi Umum,Tidak Berisiko,riau sudah banyak hutang jadi token listrik tidak tebeli lagi,"['riau', 'sudah', 'banyak', 'hutang', 'jadi', 'token', 'listrik', 'tidak', 'tebeli', 'lagi']","['riau', 'banyak', 'hutang', 'token', 'listrik', 'tebeli']","['riau', 'banyak', 'hutang', 'token', 'listrik', 'tebeli']",riau banyak hutang token listrik tebeli
Bukannya ada barang masuk 😂 berapa ton pak?,Percakapan Biasa,Tidak Berisiko,bukannya ada barang masuk 😂 berapa ton pak?,"['bukannya', 'ada', 'barang', 'masuk', 'berapa', 'ton', 'pak']","['bukannya', 'barang', 'masuk', 'berapa', 'ton', 'pak']","['bukan', 'barang', 'masuk', 'berapa', 'ton', 'pak']",bukan barang masuk berapa ton pak
"gamau maapin aku gerah banget gabisa tdr, gada baterai hp, wifi lagi😭",Percakapan Biasa,Tidak Berisiko,"gamau maapin aku gerah banget gabisa tdr, gada baterai hp, wifi lagi😭","['gamau', 'maapin', 'aku', 'gerah', 'banget', 'gabisa', 'tdr', 'gada', 'baterai', 'hp', 'wifi', 'lagi']","['gamau', 'maapin', 'aku', 'gerah', 'banget', 'gabisa', 'tdr', 'gada', 'baterai', 'hp', 'wifi']","['gamau', 'maapin', 'aku', 'gerah', 'banget', 'gabisa', 'tdr', 'gada', 'baterai', 'hp', 'wifi']",gamau maapin aku gerah banget gabisa tdr gada baterai hp wifi
Apa sih Konsekwensi PLN kalau mati lampu seperti ini... kalau masayarakat gak bayar lampu mati itu konsekwensinya..,Transaksi Aman,Tidak Berisiko,apa sih konsekwensi pln kalau mati lampu seperti ini... kalau masayarakat gak bayar lampu mati itu konsekwensinya..,"['apa', 'sih', 'konsekwensi', 'pln', 'kalau', 'mati', 'lampu', 'seperti', 'ini', 'kalau', 'masayarakat', 'gak', 'bayar', 'lampu', 'mati', 'itu', 'konsekwensinya']","['apa', 'konsekwensi', 'pln', 'kalau', 'mati', 'lampu', 'kalau', 'masayarakat', 'bayar', 'lampu', 'mati', 'konsekwensinya']","['apa', 'konsekwensi', 'pln', 'kalau', 'mati', 'lampu', 'kalau', 'masayarakat', 'bayar', 'lampu', 'mati', 'konsekwensinya']",apa konsekwensi pln kalau mati lampu kalau masayarakat bayar lampu mati konsekwensinya
dimaafin kok mas..,Percakapan Biasa,Tidak Berisiko,dimaafin kok mas..,"['dimaafin', 'kok', 'mas']","['dimaafin', 'kok', 'mas']","['dimaafin', 'kok', 'mas']",dimaafin kok mas
"udh lah mati lampu, sinyal jelek, banyak nyamuk, panas pulaaaaa PLN anjer",Informasi Umum,Tidak Berisiko,"udh lah mati lampu, sinyal jelek, banyak nyamuk, panas pulaaaaa pln anjer","['udh', 'lah', 'mati', 'lampu', 'sinyal', 'jelek', 'banyak', 'nyamuk', 'panas', 'pulaaaaa', 'pln', 'anjer']","['udh', 'mati', 'lampu', 'sinyal', 'jelek', 'banyak', 'nyamuk', 'panas', 'pulaaaaa', 'pln', 'anjer']","['udh', 'mati', 'lampu', 'sinyal', 'jelek', 'banyak', 'nyamuk', 'panas', 'pulaaaaa', 'pln', 'anjer']",udh mati lampu sinyal jelek banyak nyamuk panas pulaaaaa pln anjer
"kasih kompensasi ke masyarat, jangan minta mff saja",Percakapan Biasa,Tidak Berisiko,"kasih kompensasi ke masyarat, jangan minta mff saja","['kasih', 'kompensasi', 'ke', 'masyarat', 'jangan', 'minta', 'mff', 'saja']","['kasih', 'kompensasi', 'masyarat', 'jangan', 'minta', 'mff']","['kasih', 'kompensasi', 'masyarat', 'jangan', 'minta', 'mff']",kasih kompensasi masyarat jangan minta mff
"prah kali ko bujang , pabri es paman rugi 50jt semalam cok , gara2 listrik padam semalam pol",Kata Kasar & Ancaman,Berisiko,"prah kali ko bujang , pabri es paman rugi 50jt semalam cok , gara2 listrik padam semalam pol","['prah', 'kali', 'ko', 'bujang', 'pabri', 'es', 'paman', 'rugi', 'jt', 'semalam', 'cok', 'gara', 'listrik', 'padam', 'semalam', 'pol']","['prah', 'kali', 'ko', 'bujang', 'pabri', 'es', 'paman', 'rugi', 'jt', 'semalam', 'cok', 'gara', 'listrik', 'padam', 'semalam', 'pol']","['prah', 'kali', 'ko', 'bujang', 'pabri', 'es', 'paman', 'rugi', 'jt', 'malam', 'cok', 'gara', 'listrik', 'padam', 'malam', 'pol']",prah kali ko bujang pabri es paman rugi jt malam cok gara listrik padam malam pol
jkrta kemayoran 5 jam dr sore astaga mana nyamuk bnyk bnget harus buka pintu,Percakapan Biasa,Tidak Berisiko,jkrta kemayoran 5 jam dr sore astaga mana nyamuk bnyk bnget harus buka pintu,"['jkrta', 'kemayoran', 'jam', 'dr', 'sore', 'astaga', 'mana', 'nyamuk', 'bnyk', 'bnget', 'harus', 'buka', 'pintu']","['jkrta', 'kemayoran', 'jam', 'dr', 'sore', 'astaga', 'mana', 'nyamuk', 'bnyk', 'bnget', 'buka', 'pintu']","['jkrta', 'mayor', 'jam', 'dr', 'sore', 'astaga', 'mana', 'nyamuk', 'bnyk', 'bnget', 'buka', 'pintu']",jkrta mayor jam dr sore astaga mana nyamuk bnyk bnget buka pintu
"batre hp gw sekarat gara""lu🗿",Percakapan Biasa,Tidak Berisiko,"batre hp gw sekarat gara""lu🗿","['batre', 'hp', 'gw', 'sekarat', 'gara', 'lu']","['batre', 'hp', 'gw', 'sekarat', 'gara', 'lu']","['batre', 'hp', 'gw', 'sekarat', 'gara', 'lu']",batre hp gw sekarat gara lu
ngeselin tau gk,Percakapan Biasa,Tidak Berisiko,ngeselin tau gk,"['ngeselin', 'tau', 'gk']","['ngeselin', 'tau', 'gk']","['ngeselin', 'tau', 'gk']",ngeselin tau gk
[Stiker] iyaiyadeh,Percakapan Biasa,Tidak Berisiko,[stiker] iyaiyadeh,"['stiker', 'iyaiyadeh']","['stiker', 'iyaiyadeh']","['stiker', 'iyaiyadeh']",stiker iyaiyadeh
"Gangguan cuacanya apa? Petir, hujan, gempa bumi, tanah longsor atau apa?",Percakapan Biasa,Tidak Berisiko,"gangguan cuacanya apa? petir, hujan, gempa bumi, tanah longsor atau apa?","['gangguan', 'cuacanya', 'apa', 'petir', 'hujan', 'gempa', 'bumi', 'tanah', 'longsor', 'atau', 'apa']","['gangguan', 'cuacanya', 'apa', 'petir', 'hujan', 'gempa', 'bumi', 'tanah', 'longsor', 'apa']","['ganggu', 'cuaca', 'apa', 'petir', 'hujan', 'gempa', 'bumi', 'tanah', 'longsor', 'apa']",ganggu cuaca apa petir hujan gempa bumi tanah longsor apa
gue yang panik baterai sisa 10%🗿,Percakapan Biasa,Tidak Berisiko,gue yang panik baterai sisa 10%🗿,"['gue', 'yang', 'panik', 'baterai', 'sisa']","['gue', 'panik', 'baterai', 'sisa']","['gue', 'panik', 'baterai', 'sisa']",gue panik baterai sisa
"kompensasi nya mana pak jangan minta maaf aja
kalau kami gak byr pasti di putusin iya g... bro",Percakapan Biasa,Tidak Berisiko,"kompensasi nya mana pak jangan minta maaf aja
kalau kami gak byr pasti di putusin iya g... bro","['kompensasi', 'nya', 'mana', 'pak', 'jangan', 'minta', 'maaf', 'aja', 'kalau', 'kami', 'gak', 'byr', 'pasti', 'di', 'putusin', 'iya', 'g', 'bro']","['kompensasi', 'mana', 'pak', 'jangan', 'minta', 'maaf', 'aja', 'kalau', 'byr', 'putusin', 'iya', 'bro']","['kompensasi', 'mana', 'pak', 'jangan', 'minta', 'maaf', 'aja', 'kalau', 'byr', 'putusin', 'iya', 'bro']",kompensasi mana pak jangan minta maaf aja kalau byr putusin iya bro
"pakkk kami gak mandi 1hari 1malam pak...
dari jam 6sore 22mei2026 sampek jam 7malam 2emei2026 😭😭😭😭",Jadwal & Kegiatan,Tidak Berisiko,"pakkk kami gak mandi 1hari 1malam pak...
dari jam 6sore 22mei2026 sampek jam 7malam 2emei2026 😭😭😭😭","['pakkk', 'kami', 'gak', 'mandi', 'hari', 'malam', 'pak', 'dari', 'jam', 'sore', 'mei', 'sampek', 'jam', 'malam', 'emei']","['pakkk', 'mandi', 'hari', 'malam', 'pak', 'jam', 'sore', 'mei', 'sampek', 'jam', 'malam', 'emei']","['pakkk', 'mandi', 'hari', 'malam', 'pak', 'jam', 'sore', 'mei', 'sampek', 'jam', 'malam', 'emei']",pakkk mandi hari malam pak jam sore mei sampek jam malam emei
gak kuat maafi stress aku gk bisa tidur gk bisa kerja njir emang,Percakapan Biasa,Tidak Berisiko,gak kuat maafi stress aku gk bisa tidur gk bisa kerja njir emang,"['gak', 'kuat', 'maafi', 'stress', 'aku', 'gk', 'bisa', 'tidur', 'gk', 'bisa', 'kerja', 'njir', 'emang']","['kuat', 'maafi', 'stress', 'aku', 'gk', 'tidur', 'gk', 'kerja', 'njir', 'emang']","['kuat', 'maaf', 'stress', 'aku', 'gk', 'tidur', 'gk', 'kerja', 'njir', 'emang']",kuat maaf stress aku gk tidur gk kerja njir emang
"Lampung malah kena jugaa💩
panas woiiii idupin AC gw PLN",Informasi Umum,Tidak Berisiko,"lampung malah kena jugaa💩
panas woiiii idupin ac gw pln","['lampung', 'malah', 'kena', 'jugaa', 'panas', 'woiiii', 'idupin', 'ac', 'gw', 'pln']","['lampung', 'malah', 'kena', 'jugaa', 'panas', 'woiiii', 'idupin', 'ac', 'gw', 'pln']","['lampung', 'malah', 'kena', 'jugaa', 'panas', 'woiiii', 'idupin', 'ac', 'gw', 'pln']",lampung malah kena jugaa panas woiiii idupin ac gw pln
kita telat byar kenak putus 😂,Percakapan Biasa,Tidak Berisiko,kita telat byar kenak putus 😂,"['kita', 'telat', 'byar', 'kenak', 'putus']","['telat', 'byar', 'kenak', 'putus']","['telat', 'byar', 'nak', 'putus']",telat byar nak putus
[Stiker] gk ah gk. mau matiin aku gk mandijadinya 1 harian,Percakapan Biasa,Tidak Berisiko,[stiker] gk ah gk. mau matiin aku gk mandijadinya 1 harian,"['stiker', 'gk', 'ah', 'gk', 'mau', 'matiin', 'aku', 'gk', 'mandijadinya', 'harian']","['stiker', 'gk', 'ah', 'gk', 'mau', 'matiin', 'aku', 'gk', 'mandijadinya', 'harian']","['stiker', 'gk', 'ah', 'gk', 'mau', 'matiin', 'aku', 'gk', 'mandijadinya', 'hari']",stiker gk ah gk mau matiin aku gk mandijadinya hari
Setelah di cek kerusakan hanya putus tali balteng..,Percakapan Biasa,Tidak Berisiko,setelah di cek kerusakan hanya putus tali balteng..,"['setelah', 'di', 'cek', 'kerusakan', 'hanya', 'putus', 'tali', 'balteng']","['cek', 'kerusakan', 'putus', 'tali', 'balteng']","['cek', 'rusa', 'putus', 'tali', 'balteng']",cek rusa putus tali balteng
"Lampung gak di sebut pak?
Kompensasi dong, jangan galak doank",Percakapan Biasa,Tidak Berisiko,"lampung gak di sebut pak?
kompensasi dong, jangan galak doank","['lampung', 'gak', 'di', 'sebut', 'pak', 'kompensasi', 'dong', 'jangan', 'galak', 'doank']","['lampung', 'sebut', 'pak', 'kompensasi', 'jangan', 'galak', 'doank']","['lampung', 'sebut', 'pak', 'kompensasi', 'jangan', 'galak', 'doank']",lampung sebut pak kompensasi jangan galak doank
sistimnya perlu ada pemisahan agar tidak semua bagian terdapat.,Percakapan Biasa,Tidak Berisiko,sistimnya perlu ada pemisahan agar tidak semua bagian terdapat.,"['sistimnya', 'perlu', 'ada', 'pemisahan', 'agar', 'tidak', 'semua', 'bagian', 'terdapat']","['sistimnya', 'perlu', 'pemisahan', 'semua', 'bagian', 'terdapat']","['sistimnya', 'perlu', 'pisah', 'semua', 'bagi', 'dapat']",sistimnya perlu pisah semua bagi dapat
"PLN yg padam, gue yang di marah ayang ga sleep call🫥",Informasi Umum,Tidak Berisiko,"pln yg padam, gue yang di marah ayang ga sleep call🫥","['pln', 'yg', 'padam', 'gue', 'yang', 'di', 'marah', 'ayang', 'ga', 'sleep', 'call']","['pln', 'padam', 'gue', 'marah', 'ayang', 'sleep', 'call']","['pln', 'padam', 'gue', 'marah', 'ayang', 'sleep', 'call']",pln padam gue marah ayang sleep call
"panjang kali ceritamu ini itu, cerita aja kerjain gk",Percakapan Biasa,Tidak Berisiko,"panjang kali ceritamu ini itu, cerita aja kerjain gk","['panjang', 'kali', 'ceritamu', 'ini', 'itu', 'cerita', 'aja', 'kerjain', 'gk']","['panjang', 'kali', 'ceritamu', 'cerita', 'aja', 'kerjain', 'gk']","['panjang', 'kali', 'cerita', 'cerita', 'aja', 'kerjain', 'gk']",panjang kali cerita cerita aja kerjain gk
woyyyyy ini udah 2 hari lo hidupin lagi mau dagang nih,Percakapan Biasa,Tidak Berisiko,woyyyyy ini udah 2 hari lo hidupin lagi mau dagang nih,"['woyyyyy', 'ini', 'udah', 'hari', 'lo', 'hidupin', 'lagi', 'mau', 'dagang', 'nih']","['woyyyyy', 'udah', 'hari', 'lo', 'hidupin', 'mau', 'dagang']","['woyyyyy', 'udah', 'hari', 'lo', 'hidupin', 'mau', 'dagang']",woyyyyy udah hari lo hidupin mau dagang
Pak kita khawatir sma info orang tua dan saudara disana tolong cpt diperbaiki pakk😭🙏,Percakapan Biasa,Tidak Berisiko,pak kita khawatir sma info orang tua dan saudara disana tolong cpt diperbaiki pakk😭🙏,"['pak', 'kita', 'khawatir', 'sma', 'info', 'orang', 'tua', 'dan', 'saudara', 'disana', 'tolong', 'cpt', 'diperbaiki', 'pakk']","['pak', 'khawatir', 'sma', 'info', 'orang', 'tua', 'saudara', 'disana', 'cpt', 'diperbaiki', 'pakk']","['pak', 'khawatir', 'sma', 'info', 'orang', 'tua', 'saudara', 'sana', 'cpt', 'baik', 'pakk']",pak khawatir sma info orang tua saudara sana cpt baik pakk
anda anda sudah siap kalang kabut jika listrik mati lama ayo yg mobil listrik mtr listrik sepada listrik komparl listrik ayoo ini adalah ngak di pikiran Anda,Informasi Umum,Tidak Berisiko,anda anda sudah siap kalang kabut jika listrik mati lama ayo yg mobil listrik mtr listrik sepada listrik komparl listrik ayoo ini adalah ngak di pikiran anda,"['anda', 'anda', 'sudah', 'siap', 'kalang', 'kabut', 'jika', 'listrik', 'mati', 'lama', 'ayo', 'yg', 'mobil', 'listrik', 'mtr', 'listrik', 'sepada', 'listrik', 'komparl', 'listrik', 'ayoo', 'ini', 'adalah', 'ngak', 'di', 'pikiran', 'anda']","['siap', 'kalang', 'kabut', 'listrik', 'mati', 'lama', 'ayo', 'mobil', 'listrik', 'mtr', 'listrik', 'sepada', 'listrik', 'komparl', 'listrik', 'ayoo', 'ngak', 'pikiran']","['siap', 'kalang', 'kabut', 'listrik', 'mati', 'lama', 'ayo', 'mobil', 'listrik', 'mtr', 'listrik', 'sepada', 'listrik', 'komparl', 'listrik', 'ayoo', 'ngak', 'pikir']",siap kalang kabut listrik mati lama ayo mobil listrik mtr listrik sepada listrik komparl listrik ayoo ngak pikir
maaf doang basi banyak di korupsi duit nya,Percakapan Biasa,Tidak Berisiko,maaf doang basi banyak di korupsi duit nya,"['maaf', 'doang', 'basi', 'banyak', 'di', 'korupsi', 'duit', 'nya']","['maaf', 'doang', 'basi', 'banyak', 'korupsi', 'duit']","['maaf', 'doang', 'basi', 'banyak', 'korupsi', 'duit']",maaf doang basi banyak korupsi duit
"mls bdmood, aku kepanasan",Percakapan Biasa,Tidak Berisiko,"mls bdmood, aku kepanasan","['mls', 'bdmood', 'aku', 'kepanasan']","['mls', 'bdmood', 'aku', 'kepanasan']","['mls', 'bdmood', 'aku', 'panas']",mls bdmood aku panas
Riau di sorek nya ngga mati lampu loo,Kata Kasar & Ancaman,Berisiko,riau di sorek nya ngga mati lampu loo,"['riau', 'di', 'sorek', 'nya', 'ngga', 'mati', 'lampu', 'loo']","['riau', 'sorek', 'ngga', 'mati', 'lampu', 'loo']","['riau', 'sorek', 'ngga', 'mati', 'lampu', 'loo']",riau sorek ngga mati lampu loo
"gk mau di maaf kan
semalam tidur nya kepanasan",Percakapan Biasa,Tidak Berisiko,"gk mau di maaf kan
semalam tidur nya kepanasan","['gk', 'mau', 'di', 'maaf', 'kan', 'semalam', 'tidur', 'nya', 'kepanasan']","['gk', 'mau', 'maaf', 'kan', 'semalam', 'tidur', 'kepanasan']","['gk', 'mau', 'maaf', 'kan', 'malam', 'tidur', 'panas']",gk mau maaf kan malam tidur panas
enak aja cuma minta maaf,Percakapan Biasa,Tidak Berisiko,enak aja cuma minta maaf,"['enak', 'aja', 'cuma', 'minta', 'maaf']","['enak', 'aja', 'cuma', 'minta', 'maaf']","['enak', 'aja', 'cuma', 'minta', 'maaf']",enak aja cuma minta maaf
kl misalnya telat byr .. mohon d maklumi ya pak n di maafkan ☺️☺️,Percakapan Biasa,Tidak Berisiko,kl misalnya telat byr .. mohon d maklumi ya pak n di maafkan ☺️☺️,"['kl', 'misalnya', 'telat', 'byr', 'mohon', 'd', 'maklumi', 'ya', 'pak', 'n', 'di', 'maafkan']","['kl', 'misalnya', 'telat', 'byr', 'mohon', 'maklumi', 'pak', 'maafkan']","['kl', 'misal', 'telat', 'byr', 'mohon', 'maklum', 'pak', 'maaf']",kl misal telat byr mohon maklum pak maaf
Alhamdulillah sekarang sudah hidup lampu.. salam hormat dari Aceh 🙏🏻,Percakapan Biasa,Tidak Berisiko,alhamdulillah sekarang sudah hidup lampu.. salam hormat dari aceh 🙏🏻,"['alhamdulillah', 'sekarang', 'sudah', 'hidup', 'lampu', 'salam', 'hormat', 'dari', 'aceh']","['alhamdulillah', 'sekarang', 'hidup', 'lampu', 'salam', 'hormat', 'aceh']","['alhamdulillah', 'sekarang', 'hidup', 'lampu', 'salam', 'hormat', 'aceh']",alhamdulillah sekarang hidup lampu salam hormat aceh
haha 😅😂 lucu ya hidup di negeri ini.,Percakapan Biasa,Tidak Berisiko,haha 😅😂 lucu ya hidup di negeri ini.,"['haha', 'lucu', 'ya', 'hidup', 'di', 'negeri', 'ini']","['haha', 'lucu', 'hidup', 'negeri']","['haha', 'lucu', 'hidup', 'negeri']",haha lucu hidup negeri
orang2 atas ni minta maaf segampang balikkan telapak tangan... coba kami yg orang bawah ini.. minta maaf kaya balikkan telapak tangan yang beratnya 100 ton,Percakapan Biasa,Tidak Berisiko,orang2 atas ni minta maaf segampang balikkan telapak tangan... coba kami yg orang bawah ini.. minta maaf kaya balikkan telapak tangan yang beratnya 100 ton,"['orang', 'atas', 'ni', 'minta', 'maaf', 'segampang', 'balikkan', 'telapak', 'tangan', 'coba', 'kami', 'yg', 'orang', 'bawah', 'ini', 'minta', 'maaf', 'kaya', 'balikkan', 'telapak', 'tangan', 'yang', 'beratnya', 'ton']","['orang', 'atas', 'ni', 'minta', 'maaf', 'segampang', 'balikkan', 'telapak', 'tangan', 'coba', 'orang', 'bawah', 'minta', 'maaf', 'kaya', 'balikkan', 'telapak', 'tangan', 'beratnya', 'ton']","['orang', 'atas', 'ni', 'minta', 'maaf', 'gampang', 'balik', 'telapak', 'tangan', 'coba', 'orang', 'bawah', 'minta', 'maaf', 'kaya', 'balik', 'telapak', 'tangan', 'berat', 'ton']",orang atas ni minta maaf gampang balik telapak tangan coba orang bawah minta maaf kaya balik telapak tangan berat ton
Alhamdulillah kami di Aceh kab Nagan Raya barusan hidup lampu,Percakapan Biasa,Tidak Berisiko,alhamdulillah kami di aceh kab nagan raya barusan hidup lampu,"['alhamdulillah', 'kami', 'di', 'aceh', 'kab', 'nagan', 'raya', 'barusan', 'hidup', 'lampu']","['alhamdulillah', 'aceh', 'kab', 'nagan', 'raya', 'barusan', 'hidup', 'lampu']","['alhamdulillah', 'aceh', 'kab', 'nagan', 'raya', 'barusan', 'hidup', 'lampu']",alhamdulillah aceh kab nagan raya barusan hidup lampu
25 jam baru hidup anjayyy berasa hidup di zaman purba,Percakapan Biasa,Tidak Berisiko,25 jam baru hidup anjayyy berasa hidup di zaman purba,"['jam', 'baru', 'hidup', 'anjayyy', 'berasa', 'hidup', 'di', 'zaman', 'purba']","['jam', 'baru', 'hidup', 'anjayyy', 'berasa', 'hidup', 'zaman', 'purba']","['jam', 'baru', 'hidup', 'anjayyy', 'asa', 'hidup', 'zaman', 'purba']",jam baru hidup anjayyy asa hidup zaman purba
"GAK MAU MAAFIN,GAK BISA TIDUR SOALNYA",Percakapan Biasa,Tidak Berisiko,"gak mau maafin,gak bisa tidur soalnya","['gak', 'mau', 'maafin', 'gak', 'bisa', 'tidur', 'soalnya']","['mau', 'maafin', 'tidur', 'soalnya']","['mau', 'maafin', 'tidur', 'soal']",mau maafin tidur soal
"kulkas ku rusak,tempat nasi rusak hati pun ikut rusak.cuma minta maaf",Percakapan Biasa,Tidak Berisiko,"kulkas ku rusak,tempat nasi rusak hati pun ikut rusak.cuma minta maaf","['kulkas', 'ku', 'rusak', 'tempat', 'nasi', 'rusak', 'hati', 'pun', 'ikut', 'rusak', 'cuma', 'minta', 'maaf']","['kulkas', 'rusak', 'tempat', 'nasi', 'rusak', 'hati', 'ikut', 'rusak', 'cuma', 'minta', 'maaf']","['kulkas', 'rusak', 'tempat', 'nasi', 'rusak', 'hati', 'ikut', 'rusak', 'cuma', 'minta', 'maaf']",kulkas rusak tempat nasi rusak hati ikut rusak cuma minta maaf
kenapa yah pas mati lampu itu aku keluar rumah dan pergi ke kota masa di kota lampu merah hidup lampu jalan hidup kalau mmng listrik padam,Informasi Umum,Tidak Berisiko,kenapa yah pas mati lampu itu aku keluar rumah dan pergi ke kota masa di kota lampu merah hidup lampu jalan hidup kalau mmng listrik padam,"['kenapa', 'yah', 'pas', 'mati', 'lampu', 'itu', 'aku', 'keluar', 'rumah', 'dan', 'pergi', 'ke', 'kota', 'masa', 'di', 'kota', 'lampu', 'merah', 'hidup', 'lampu', 'jalan', 'hidup', 'kalau', 'mmng', 'listrik', 'padam']","['yah', 'pas', 'mati', 'lampu', 'aku', 'keluar', 'rumah', 'pergi', 'kota', 'masa', 'kota', 'lampu', 'merah', 'hidup', 'lampu', 'jalan', 'hidup', 'kalau', 'mmng', 'listrik', 'padam']","['yah', 'pas', 'mati', 'lampu', 'aku', 'keluar', 'rumah', 'pergi', 'kota', 'masa', 'kota', 'lampu', 'merah', 'hidup', 'lampu', 'jalan', 'hidup', 'kalau', 'mmng', 'listrik', 'padam']",yah pas mati lampu aku keluar rumah pergi kota masa kota lampu merah hidup lampu jalan hidup kalau mmng listrik padam
lambat banget ngomong ny,Percakapan Biasa,Tidak Berisiko,lambat banget ngomong ny,"['lambat', 'banget', 'ngomong', 'ny']","['lambat', 'banget', 'ngomong', 'ny']","['lambat', 'banget', 'ngomong', 'ny']",lambat banget ngomong ny
Lolos berapa Ton pak semalam masuk,Percakapan Biasa,Tidak Berisiko,lolos berapa ton pak semalam masuk,"['lolos', 'berapa', 'ton', 'pak', 'semalam', 'masuk']","['lolos', 'berapa', 'ton', 'pak', 'semalam', 'masuk']","['lolos', 'berapa', 'ton', 'pak', 'malam', 'masuk']",lolos berapa ton pak malam masuk
"pemerintah gampang banget yaa minta maaf Ama masyarakat nyaa,,,coba aja kita telat sehari mana bisa byr pke maaf😭😂",Percakapan Biasa,Tidak Berisiko,"pemerintah gampang banget yaa minta maaf ama masyarakat nyaa,,,coba aja kita telat sehari mana bisa byr pke maaf😭😂","['pemerintah', 'gampang', 'banget', 'yaa', 'minta', 'maaf', 'ama', 'masyarakat', 'nyaa', 'coba', 'aja', 'kita', 'telat', 'sehari', 'mana', 'bisa', 'byr', 'pke', 'maaf']","['pemerintah', 'gampang', 'banget', 'yaa', 'minta', 'maaf', 'ama', 'masyarakat', 'nyaa', 'coba', 'aja', 'telat', 'sehari', 'mana', 'byr', 'pke', 'maaf']","['perintah', 'gampang', 'banget', 'yaa', 'minta', 'maaf', 'ama', 'masyarakat', 'nyaa', 'coba', 'aja', 'telat', 'hari', 'mana', 'byr', 'pke', 'maaf']",perintah gampang banget yaa minta maaf ama masyarakat nyaa coba aja telat hari mana byr pke maaf
Hana pateh,Percakapan Biasa,Tidak Berisiko,hana pateh,"['hana', 'pateh']","['hana', 'pateh']","['hana', 'pateh']",hana pateh
