pesan,kategori,label
kangen cewekku gabisa komunikasi sama dia lagi ldr🥺,Percakapan Biasa,Tidak Berisiko
blm idup'smpk skrg bjir😭,Percakapan Biasa,Tidak Berisiko
bayar ga pernah telat tp kog bs pln rugi trus ya ? 🤔,Transaksi Aman,Tidak Berisiko
"gak bisa dgn cara meminta maaf gitu aja,ketika ada kesalahan atau kelalaian dari masyarakat boleh dgn kata maaf bgtu saja.
masyarakat harus terima sanksi dari pihak PLN dgn cara denda admin yg harus di bayar.
skrg kami tggu etika dari PLN tuk masyarakat luas yg telah dirugikan kurung waktu 24jam.
bosan dan gak dgn cara maaf saja.
segera ya pihak PLN tunjukkan etika nya..???",Transaksi Aman,Tidak Berisiko
yg di luar sumatra tidur nyenyak🤭,Percakapan Biasa,Tidak Berisiko
"Ga mau, udah badmood. Klo di bujuk baru di maafin",Percakapan Biasa,Tidak Berisiko
"apaan anjirr, aku anak kost + akhir bulan belum makan dari mati lampu sampe hidup lampu lagi, karena gabisa masak uang udh gda mau beli makan dluar memang sialan😭",Kata Kasar & Ancaman,Berisiko
"bukan minta maaf yg di harapkan bro......
tapi kedepannya pln tidak mengecewakan.
jgn buat dalil tuk membuat alasan",Informasi Umum,Tidak Berisiko
gara3 mati lampu aku jadi tukang sate ngipasin anak😭 karna lupa GK Cass kipass,Percakapan Biasa,Tidak Berisiko
maaf teroooos,Percakapan Biasa,Tidak Berisiko
"aku lagi pangkas masi setengah potong udah mati lampu woii
balikin rambut ku",Percakapan Biasa,Tidak Berisiko
menyala pln😂,Informasi Umum,Tidak Berisiko
sumsel aman boss,Percakapan Biasa,Tidak Berisiko
kami di sukabangun mati lampu hidup mati .. takut kejadian rusak kulkas lagi,Percakapan Biasa,Tidak Berisiko
"Minta ganti rugi laa, kita bayar listrik tidak pernah telat, pas telat bayar di cabut",Transaksi Aman,Tidak Berisiko
tidak ku maafkan pak,Percakapan Biasa,Tidak Berisiko
"ia kita maafin kok pak, kita juga kalo duduk dikursi bapak juga bakal ngomong seperti yg barusan🫡",Percakapan Biasa,Tidak Berisiko
"[Stiker] mati lampu+HP gw mati, emang anjjj🤗🤗",Percakapan Biasa,Tidak Berisiko
gak guna,Percakapan Biasa,Tidak Berisiko
baru lihat vidio ini lah ini jam 18.13 uda mati listrik lagi,Jadwal & Kegiatan,Tidak Berisiko
pak matii lampu lagi pak di lampung,Percakapan Biasa,Tidak Berisiko
aing can dahar sapoe gara gara pamajikan aing temasak,Percakapan Biasa,Tidak Berisiko
omongg kosonggg,Percakapan Biasa,Tidak Berisiko
omongggg kosonnggggggg,Percakapan Biasa,Tidak Berisiko
iya wak iya wak iya wak,Percakapan Biasa,Tidak Berisiko
"cuma 1 yang kami mau tau, berapa lama bisa teratasi ?",Percakapan Biasa,Tidak Berisiko
cuma minta maaf aja pak? kasih dispensasi dong misalnya potongan tarif tagihan,Transaksi Aman,Tidak Berisiko
betul pa darma Kun,Percakapan Biasa,Tidak Berisiko
omonggggg kosonggggggg,Percakapan Biasa,Tidak Berisiko
"Tolong kondisikan pak jangan terlalu lama mati lampu untuk wilayah yang terkena dampak, soalny mau tidur panas pak",Percakapan Biasa,Tidak Berisiko
trus kapannn hidup lampunya pak ya ni lagi batre hp saya sisa brp nih gak bisa dracin aa😭,Percakapan Biasa,Tidak Berisiko
suka hati kau AZ lh,Percakapan Biasa,Tidak Berisiko
jadi kondensasinya apa?,Percakapan Biasa,Tidak Berisiko
sekarang mati lampu lagi Lampung 18.13,Percakapan Biasa,Tidak Berisiko
pak di tempat ku mati lampu lagi 😭😭😭😭,Percakapan Biasa,Tidak Berisiko
"Cara2 mati lampu gak mancing aku,di ml",Percakapan Biasa,Tidak Berisiko
saya bekerja di pabrik tranformer. penjelasan bapak sangat tdk masuk akal.,Percakapan Biasa,Tidak Berisiko
"bayar listrik gak bisa pake minta maaf,,",Transaksi Aman,Tidak Berisiko
bdmd ga sleepcall 🙄,Percakapan Biasa,Tidak Berisiko
Halahhhhhhhh,Percakapan Biasa,Tidak Berisiko
"MAAF DOANG NIH, misal di RS ada operasi penting dan ada yang meninggal trus MAAF DOANG, 😑😑😮‍💨",Percakapan Biasa,Tidak Berisiko
"permohonan maaf, giliran telat bayar ngk nerima kata maaf, langsung main putus,
jgn maaf2 saja pak, minimal kasi kompensasi biaya listrik 1 bulan.",Transaksi Aman,Tidak Berisiko
disini malah tiap hari mati lampu,Percakapan Biasa,Tidak Berisiko
"betul kawan lampu sring mati, payah ni sumur timba ga ada hampir semua org sumur bor",Percakapan Biasa,Tidak Berisiko
Kompensasi,Percakapan Biasa,Tidak Berisiko
"tagihan PLN tetep tinggi,TAPI LISTRIKNYA MATI TERUS DAN GAK ADA KOMPENSASI NYA UNTUK YG TERDAMPAK...
@bahlillahadilao @PLN @Sumatra Selatan",Transaksi Aman,Tidak Berisiko
aman pa aman,Percakapan Biasa,Tidak Berisiko
ngak BS mintak2 maaf aja pak skrg ngak ada yg gratis skrg.yaaa gratisin aja pemakaian satu bulan buat masyarakat..?,Percakapan Biasa,Tidak Berisiko
gk papa pak asal gk rugi aja tiap laporan,Informasi Umum,Tidak Berisiko
berapa ton yg lewat pak?,Percakapan Biasa,Tidak Berisiko
Medan mati lampu itu bukan Sumatra,Percakapan Biasa,Tidak Berisiko
jangan telat bayar,Transaksi Aman,Tidak Berisiko
pak tau gak ? banyak nyamuk gabisa tdr,Percakapan Biasa,Tidak Berisiko
tapan msuk?,Percakapan Biasa,Tidak Berisiko
baterai aku tinggal 15 persen lampu mati biar terang pakek hp lilin dah habis di warung tanggung jawab,Percakapan Biasa,Tidak Berisiko
Medan juga Sumatera Utara lek..,Percakapan Biasa,Tidak Berisiko
Aku berak ke jamban lah lulak😭😌,Percakapan Biasa,Tidak Berisiko
alhamdulilah sudah hidup lampu🤲,Percakapan Biasa,Tidak Berisiko
kebanyakan teori nya sama kenyataan .,Percakapan Biasa,Tidak Berisiko
ketahuan sering telat bayar listrik ...,Transaksi Aman,Tidak Berisiko
tolong KPK audit PLN ini sudah gak benar kinerjanya !!! @kpk_ri berani gak ??? capek banget hampir 24 jam lampu matii brengsek,Kata Kasar & Ancaman,Berisiko
semalem Gresik padam,Percakapan Biasa,Tidak Berisiko
mnta maaf + bonus cepek pak.buat beli semprot nyamuk sama ac portabel yg pke batre pak soal ny panas e poll nyamuk bnyk,Percakapan Biasa,Tidak Berisiko
lontong emang,Percakapan Biasa,Tidak Berisiko
dari jam stgh7 malam kemaren baru hidup jamstgh 5 barusan total 22 jam mati lampu,Percakapan Biasa,Tidak Berisiko
pak mau mandi pun uda gabisa nihhh😭,Percakapan Biasa,Tidak Berisiko
"upgrade lah dikit atau gak ke tata surya, utang nambah tapi gada perubahan ni konoha 😂",Percakapan Biasa,Tidak Berisiko
ingat semuanya nya tidak ada yang abadi pasti semua ada waktunya ...kita harus bersabar ...,Percakapan Biasa,Tidak Berisiko
mohon d maklumin kami sengaja matikan lampu satu Sumatra karena kami sedang menjalankan program ujicoba🤣,Percakapan Biasa,Tidak Berisiko
[Stiker] @asepp1373:Gara2 pln gua gk bisa vc sama ayang,Informasi Umum,Tidak Berisiko
unung brp ni😳,Percakapan Biasa,Tidak Berisiko
Nyusahin aja PLN gak niat jadi PLN gak ya,Informasi Umum,Tidak Berisiko
eeehh..bujaaaang..bujang!,Percakapan Biasa,Tidak Berisiko
Lampung jg pakkk mati lampuuuu,Percakapan Biasa,Tidak Berisiko
"maaf ,kalo udah kejadian",Percakapan Biasa,Tidak Berisiko
"ya gw tau kalian Belom tidur dan kerja belum sama sekali tidur tapi cukup 1×,2×,3× gak usah di ulang²😂😂",Percakapan Biasa,Tidak Berisiko
lampung memaklumi pak😊🙏,Percakapan Biasa,Tidak Berisiko
bentuk pertanggung jawaban lebih baik bapak n Mentri ESDM nya mundur aja,Percakapan Biasa,Tidak Berisiko
Udh belom itu lewat barang nya kalau udah hidupkan dulu balek lampu kami ini pak 🙂 mau ngapa2in pun susah jadinya weee,Percakapan Biasa,Tidak Berisiko
Lampung ikut pemadaman,Informasi Umum,Tidak Berisiko
to the points aja kapan sembuh🗿,Percakapan Biasa,Tidak Berisiko
[Stiker] gaa gw maapin soalnya streak gw jdi mati,Percakapan Biasa,Tidak Berisiko
Kami mati dari jam 18.44 sampai jam 1 siang.baru hidup🥺🥺🥺,Jadwal & Kegiatan,Tidak Berisiko
di lampung ydah biasa mati lampu pak jadi slow aja,Kata Kasar & Ancaman,Berisiko
alhamdulillah di merangin masihh hidup,Percakapan Biasa,Tidak Berisiko
apa iya setiap malam sampe tanggal 25 mati lampu lagi?,Percakapan Biasa,Tidak Berisiko
"telur ayam ku yg ku inkubator gagal netas gara"" listrik tadi malam mati,jadi cemna ni min. baru jugak bukak usaha uda tekor...🙌",Informasi Umum,Tidak Berisiko
sumsel juga kena woiii hadehh,Percakapan Biasa,Tidak Berisiko
"kami tdk boleh terlambat bayar, terlambat diputusin, tpi giliran listrik mati, kami cukup dpat ucapan KAMI MINTA MAAF",Transaksi Aman,Tidak Berisiko
hari ini kapan hidup lagi yah,Percakapan Biasa,Tidak Berisiko
"ngeri ya lihat negri ini😭, berapa da kerugian rakyat akibat mati lampu",Percakapan Biasa,Tidak Berisiko
wak idupkan dulu listrik ini bikin pening aja,Informasi Umum,Tidak Berisiko
tuntut ganti rugi sama PLN konsumen yg memakai token gratis kan selama 1 tahun,Informasi Umum,Tidak Berisiko
santai aj kayak Ama siapa aj,Percakapan Biasa,Tidak Berisiko
Brapa ton lewat pak🔥,Percakapan Biasa,Tidak Berisiko
"jangan gitu la PLN,, kami punya anak bayi lo,, udh 1 malaman kami gk tdr 😌",Informasi Umum,Tidak Berisiko
"ini baru mati lampu lagi ,semalam udah mati sekarang mati lagi sampe banyak anak sekolah gak sekolah😂",Percakapan Biasa,Tidak Berisiko
y saya kan maaf pk. kapan d matikan lagi pk,Percakapan Biasa,Tidak Berisiko
kebiasaan pejabat konoha cuma minta maaf urusan selesai 🤣😂🤣🤣,Percakapan Biasa,Tidak Berisiko
tapi asik tau kalau mati lampu,Percakapan Biasa,Tidak Berisiko
dari kemarin belum hidup ni pak di aceh bagian tengah pak,Percakapan Biasa,Tidak Berisiko
"siap lah , gara"" mati lampu , ranjang tetangga ku sering rusak",Percakapan Biasa,Tidak Berisiko
yg mati lampu di Jatim TDK minta maaf sklian,Percakapan Biasa,Tidak Berisiko
katanya sampe tgl 25 mati lampu,Percakapan Biasa,Tidak Berisiko
"gak masuk akal klarifikasi mu pak wkwk
kalau memang ada gangguan sistem kenapa gak siang diperbaiki kenapa harus malam disaat semua masyarakat penting memakai listrik
ada apa tu ya sebenarnya ???",Informasi Umum,Tidak Berisiko
gara gara mati lampu gue jadi takut tidur sendiri loo😭,Kata Kasar & Ancaman,Berisiko
pertanyaaan nya benar rusak apa hanya alasan .jangan2 kalian itu lagi drama soalnya pejabat dinegara ini sudah banyak pintar drama,Percakapan Biasa,Tidak Berisiko
Kalau maaf…,Percakapan Biasa,Tidak Berisiko
semua rugi klo mati listrik trs,Informasi Umum,Tidak Berisiko
🤣🤣🤣🤣🤣🤣🤣,Percakapan Biasa,Tidak Berisiko
rada curiga,Percakapan Biasa,Tidak Berisiko
pantes g ad sinyal semalem tpi jm 3-4 dh pulih,Percakapan Biasa,Tidak Berisiko
Gara” pln aku ga bisa sleep call sama ayang🥲😣,Informasi Umum,Tidak Berisiko
"kalo cuaca yang dijadikan alasan ya mau gimana lagi
toh itu memang alasan yang paling ampuh,karena cuaca tidak memiliki ktp.😂",Percakapan Biasa,Tidak Berisiko
Anj nih pln,Informasi Umum,Tidak Berisiko
Longgor mati lampu terus panas cok,Kata Kasar & Ancaman,Berisiko
apakah ada sesuatu besar2an yg kita orang tidak tahu?? 🤔🤔🤔,Percakapan Biasa,Tidak Berisiko
"Ganti rugi, kasih kompensasi bagi rakyat",Percakapan Biasa,Tidak Berisiko
"bisa gak ya di tuntut, soal nya merugikan usahaku, aku jualan token gak laku jadi nya. kerugian ku mencapai 2,5 M",Percakapan Biasa,Tidak Berisiko
pak kalau mau minta maaf buat panggung dan undang kami masyarakat yg pakai listrik. lalu minta maaf. kalau gitu minta maaf saya pun bisa.,Informasi Umum,Tidak Berisiko
rugi berapa PLN kita pak Dirut 😏,Informasi Umum,Tidak Berisiko
woiii jangan lu matiin trus adek gw rewel udh panas +gabisa tidur + adek gw ribut rewel + pokoknya cepatt balikin semulaa woiii panass iniii 😭,Percakapan Biasa,Tidak Berisiko
"byr listrik telat sehari saja SDH kena denda.
ini mati lampu sampai semalaman hanya bilang maaf",Informasi Umum,Tidak Berisiko
ga di maafin!!!!,Percakapan Biasa,Tidak Berisiko
"ya,kami mengerti, tp perhatikan jg pengguna PLN di kalangan bawah, berilah subsidi yg ter arah bagi masyarakat miskin",Informasi Umum,Tidak Berisiko
berapa ton pak🥰,Percakapan Biasa,Tidak Berisiko
[Stiker] koncet lah batre awak habis gak bisa di cas padahal besoknya mau perpisahan di sekolah,Percakapan Biasa,Tidak Berisiko
begini lah jawaban sellu pejabat meminta maaf. klw rakyat telat bayar denda sampai pemutusan.,Transaksi Aman,Tidak Berisiko
Percut... kondisi listrik masih mati.,Informasi Umum,Tidak Berisiko
Hampir ada yang meninggal loh pak kejebak di lift selama 50menit 🫣,Percakapan Biasa,Tidak Berisiko
[Stiker] kacauu ga bisa ginii,Percakapan Biasa,Tidak Berisiko
Sumatra v2 v1 banjir,Percakapan Biasa,Tidak Berisiko
Pak aku capek ngangkat air dari parit 😭😭,Percakapan Biasa,Tidak Berisiko
"SINGKAT SAJA PAK GA USH BERTELE TELE,, BERAPA TON YANG MASUK??",Percakapan Biasa,Tidak Berisiko
[Stiker] yang LDR,Percakapan Biasa,Tidak Berisiko
"mati lagi bjir ini bangun"" udah mati lagi lampu",Percakapan Biasa,Tidak Berisiko
"pakkk, tempat saya dri pagi jam 8 sampe skrng blom hidup lohhh lampu nyaa, sdngkan tmpt lain udah hidup dri jam 3😭",Jadwal & Kegiatan,Tidak Berisiko
"Listrik mati , sinyal hilang main main , biar gak apa kali dah kek di luar negri bah mainan nya 😅🫠",Informasi Umum,Tidak Berisiko
"gpp bg,malah seru mati lampu bisa berburu dinosaurus,berasa jaman batu",Percakapan Biasa,Tidak Berisiko
gangguan ber turut-tutut 2 hari... gangguan nya pas bener pukul 18:00,Jadwal & Kegiatan,Tidak Berisiko
di lampung masih mati lampu 🥺,Percakapan Biasa,Tidak Berisiko
pak pikirkan kami tidur dalam kondisi panas dan banyak yamuk coba aja bapak di posisi kami kek mana,Percakapan Biasa,Tidak Berisiko
"enak kali minta maaf😏,",Percakapan Biasa,Tidak Berisiko
iya sedikit terlambat bayar listrik jangan di padam listriknya,Transaksi Aman,Tidak Berisiko
giliran tagihan listrik gak ada obat kalo gak bayar di putusin ini yang di nama kan untuk rakyat mala menyusahkan rakyat,Transaksi Aman,Tidak Berisiko
"dari jam 7 malam sampe jam 1 siang 😀 antara hidup dan mati sih pak, stres dikit tapi banyk",Jadwal & Kegiatan,Tidak Berisiko
"Maaf kami pun telat bayar listrik,boleh kan",Transaksi Aman,Tidak Berisiko
"sudah"" lah , jujur"" be kini",Percakapan Biasa,Tidak Berisiko
"pakkkkk jangannn matiiii lampuu lagiii donggggg,nantiii gimanaaa akuuu mauu tidurrr klooo gakkk kipassss kuuu idupop",Kata Kasar & Ancaman,Berisiko
"bayar listrik GK boleh telat tp suplai kelistrikan seolah"" sedikit knp GK ditambah klu beban bertambah",Transaksi Aman,Tidak Berisiko
"kompensasi nya apa pak??, masa maaf doang ah",Percakapan Biasa,Tidak Berisiko
"pertanyaannya singkat
ap kerja xan tdr ya??????",Percakapan Biasa,Tidak Berisiko
skrng knp di matiin lagi pak,Percakapan Biasa,Tidak Berisiko
ini Lampura juga mati lampu lagi woi 😭,Percakapan Biasa,Tidak Berisiko
minta mf basih pak,Percakapan Biasa,Tidak Berisiko
"g mau maafin, aku lagi sakit + punya bayi mode ayunan + todler full power + panas + gdk jaringan
GILAKKKKKKKKKK",Percakapan Biasa,Tidak Berisiko
tp kok blm sampai saat ni blm hidup juga di daerah Aceh,Percakapan Biasa,Tidak Berisiko
Aku jadi gabisa balas chat tia pak gegara mati lampu terus @T I A,Percakapan Biasa,Tidak Berisiko
idupin nggk😤,Percakapan Biasa,Tidak Berisiko
23 jam pak parah,Percakapan Biasa,Tidak Berisiko
gimana ini pak mati lampu trs ini kami susah ini balik kerja gak bisa mandi badan dah gatal semua ini,Percakapan Biasa,Tidak Berisiko
Aku di medan.. dan di daerah aku baru hidup jam 5 sore... total mati 22 jam... GILA!!,Jadwal & Kegiatan,Tidak Berisiko
"Garagara mati lampu kami sekeluarga tdr dpn pintu😭banyak nyamukkk, ganti rugi dlu pak",Percakapan Biasa,Tidak Berisiko
aman lah dari jam 7 sampai jam 1 bukan 1tahun kok,Jadwal & Kegiatan,Tidak Berisiko
"Rusak rusak pun di bagian arusan Jambi tiap hari mati kadang 1hari ada 3kali mati lampu,beda sama aliran kampung sebelah Pekanbaru ngga sering mati,aliran Jambi kali 1hari ngga ada mati ngga afdhol rasanya",Percakapan Biasa,Tidak Berisiko
panas bedengkang ni dah kek di kukus,Percakapan Biasa,Tidak Berisiko
Knp bangkrut lg....skrng bukan konoha ya apa saudara konoha ya,Percakapan Biasa,Tidak Berisiko
"[Stiker] telat bayar diputus, ga telat bayar pun masih kena pemadaman.",Transaksi Aman,Tidak Berisiko
"berikanlah dalam bentuk kebijaksanaan, berupa kompensasi yang layak..jgn cuma minta maaf, kita sebagai konsumen pun membayar listrik yg mahal...",Informasi Umum,Tidak Berisiko
"konpensasi mana?
gak bth maaf",Percakapan Biasa,Tidak Berisiko
"maaf pak, nanti kalo mau mati lampu kasi himbauan ya,🙏",Percakapan Biasa,Tidak Berisiko
HEE SUMATRA SELATAN JUGA KENA DAMPAK NYA YAA🫵😾,Percakapan Biasa,Tidak Berisiko
mati lampu lagi ajir lampung😭🙏,Percakapan Biasa,Tidak Berisiko
Wak sudahlah wak byk cakap idupkan aja listriknya udh mau 24 jam ga nyala jg wak tempatku tolong laaah,Percakapan Biasa,Tidak Berisiko
"assalamualaikum,iya benar semalam mati lampu,tapi kalo bisa malam Senin Selasa robo jangan ada pemadaman ya PK,kerena saya ada acara pentin terima kasih,,",Kata Kasar & Ancaman,Berisiko
"bayar gak pernah nunggak ..
TAPI PLN KOQ PUNYA UTANG ..
aku cuma liat jab ..",Transaksi Aman,Tidak Berisiko
Sumatra Selatan aman😁,Percakapan Biasa,Tidak Berisiko
udah lolos berapa ton?,Percakapan Biasa,Tidak Berisiko
berati Sumsel aman?,Percakapan Biasa,Tidak Berisiko
"orang orang sekarang udah pada sombong dulu kami hidup di pedalaman tanpa listrik tetep bisa bertahan hidup sekarang sudah ada Listrik mati lampu sebentar aja udah pada mengeluh inilah itulah.. padahal sebelum ada listrik biasa"" Aja hidup,,sekarang bnyak dramanya.. huuuuuufhmm",Kata Kasar & Ancaman,Berisiko
dk ku maapi💜,Percakapan Biasa,Tidak Berisiko
Konoha Konoha,Percakapan Biasa,Tidak Berisiko
yang baru hidup lampu sini kumpul 18.00🗿,Percakapan Biasa,Tidak Berisiko
"Masyarakat telat bayar didenda, PLN nya mati ""mohon maaf""",Transaksi Aman,Tidak Berisiko
"𝗺𝗶𝗻𝘁𝗮𝗸 𝗺𝗮𝗮𝗳 𝘁𝗲𝗿𝘂𝘀 𝗯𝗼𝘇.
𝘁𝗲𝗸𝗼𝗿 𝘁𝗲𝗿𝘂𝘀.
𝘁𝗲𝗿𝘂𝘀 𝘁𝗲𝗿𝘂𝘀 𝗯𝗲𝗴𝗶𝗻𝗶.
𝗸𝗮𝗽𝗮𝗻 𝘀𝗶𝗵 𝗯𝗲𝗿𝗯𝘂𝗮𝘁 𝘁𝗶𝗱𝗮𝗸 𝗺𝗶𝗻𝘁𝗮𝗸 𝗺𝗮𝗮𝗳.
𝘀𝗲𝗽𝗲𝗿𝘁𝗶 𝗱𝗶 𝘇𝗮𝗺𝗮𝗻 𝗯𝗮𝘁𝘂 𝘀𝗲𝘄𝗮𝗸𝘁𝘂 𝗺𝗮𝘁𝗶 𝗹𝗮𝗺𝗽𝘂.
𝗮𝗱𝗮𝗸𝗮𝗵 𝗯𝗲𝗿𝗳𝗶𝗸𝗶𝗿 𝘂𝗻𝘁𝘂𝗸 𝗺𝗮𝘀𝘆𝗮𝗿𝗮𝗸𝗮𝘁..!!!",Percakapan Biasa,Tidak Berisiko
"12 jam pak bukan 2 jam ya
gak bisa di maafkan karna panas kon gak bisa tidur",Percakapan Biasa,Tidak Berisiko
Masalahnya sampe sekarang lampunya belum hidup pak 😭😭😭,Percakapan Biasa,Tidak Berisiko
darma pangrekun ada benarnta 😊😊😊,Percakapan Biasa,Tidak Berisiko
Pecat aja komdir nya. Ya kali alesannya cuaca… kompensasi mana?,Percakapan Biasa,Tidak Berisiko
konpensasi giman????? jangan omom omon doang,Percakapan Biasa,Tidak Berisiko
"lampung juga pak brooo, gmna sih harusnya ada kompensasi kalo ada pemadaman baik itu over atau defisit sistem pak, karena masyarakat taunya byar tiap bulan ataupun beli token kalo mau listrik nya bisa dipakai",Informasi Umum,Tidak Berisiko
tempatku blm nyala sampe skrg,Percakapan Biasa,Tidak Berisiko
"gak mau maapin kecuali ganti rugi karna semua pekerjaan terbengkalai ,ganti rugi dongg😏",Percakapan Biasa,Tidak Berisiko
gk tenang tidur🗿,Percakapan Biasa,Tidak Berisiko
jambi hidup,Percakapan Biasa,Tidak Berisiko
dari jam 7 magrib baru hidup jam setengah enam tadi,Jadwal & Kegiatan,Tidak Berisiko
"sekarang mati lagii udah 3 harii,
ngak mau maapin pokok nya",Percakapan Biasa,Tidak Berisiko
"maafff???
telat bayar listrik kita di denda,
kalo mati lampu (kelistrikan), beri kami keringanan dong, jangan mau menang sendiri 😮‍💨",Transaksi Aman,Tidak Berisiko
"Satu hal lagi pak .
kami bayar setiap bulan .. telat dikit main copot 😁🫢",Transaksi Aman,Tidak Berisiko
jaringan sampe gelek,Percakapan Biasa,Tidak Berisiko
mati lampu lagii nihh,Percakapan Biasa,Tidak Berisiko
minta maaf doank???,Percakapan Biasa,Tidak Berisiko
gara² mati lampu sepatu kerja ku hilang sebelah🤦🏼‍♀️,Percakapan Biasa,Tidak Berisiko
Semoga cepat selasai salam dari aceh🥰,Percakapan Biasa,Tidak Berisiko
coba token habis atau yg pakai rekening telat di cabut tuh meteran gk mau tau pihak pln .,Informasi Umum,Tidak Berisiko
kok pada bisa main tiktok. wa ke suamik yg lagi di sumatra ctg 1 aja dritadi huhu😭,Percakapan Biasa,Tidak Berisiko
Patumbak jam 4 pagi nyala,Jadwal & Kegiatan,Tidak Berisiko
gaa mauuuuuu ga di maafin. betapa tersiksanya aku tadi mlm,Percakapan Biasa,Tidak Berisiko
[Stiker] lah dapat berita ini langsung mati bjir🗿,Informasi Umum,Tidak Berisiko
"g ush di jls,g mw dimaafin.",Percakapan Biasa,Tidak Berisiko
tanggung jawab atas ke rugian masyarakat pihak PLN,Informasi Umum,Tidak Berisiko
zaman ud canggih kok masih pake gardu induk ya pake tenaga Surya lah,Percakapan Biasa,Tidak Berisiko
"baru aja hidup🥹
udah 24 jam pak
ada apa ini😵",Percakapan Biasa,Tidak Berisiko
"pokok nya gak mau pak, semalaman aku ngipasin anak ku karna nangis kepanasan gak ada tidur semalaman",Percakapan Biasa,Tidak Berisiko
suka suka klen lah pak Sampek pukul 18.02 waktu Sumbagut toh listrik kami blom nyala,Jadwal & Kegiatan,Tidak Berisiko
Sumatra Selatan mati padahal kgk di sebut jirrr,Percakapan Biasa,Tidak Berisiko
"tolooong pak, gerah bgt ini kalo dimatiin mlam2😭😭😭",Percakapan Biasa,Tidak Berisiko
"saya sampe mandi keringat pak,maaf bapak tidak bisa bikin dingin😂",Percakapan Biasa,Tidak Berisiko
"apa yang pernah disampaikan Bang Dharma Pongrekun selalu terbukti
semoga jika ada ancaman ada juga pencegahan sebelum ancaman tersebut terjadi jangan menunggu kejadian dulu. dan support pesan anak bangsa bukan dipandang sebelah mata halu apalagi dianggap makar barisan sakit hati dan sebagainya. #berdikari #berdaulat #swasembadasandangpanganpapan #berdaulat
@semua
@indonesia
@presiden",Informasi Umum,Tidak Berisiko
cuma bisa turu 😭 saking suntuknya,Percakapan Biasa,Tidak Berisiko
[Stiker] muncul pas mati lampu,Percakapan Biasa,Tidak Berisiko
[Stiker] PAK SALTO YOk,Percakapan Biasa,Tidak Berisiko
"maaf doang, gantirugi kagak..!!
pejabat macam apa ini",Percakapan Biasa,Tidak Berisiko
"kec. renah pembarap desa baru air batu udah biasa mati lampu semalam, cuma kerna hujan lebat dan petir😁😁",Percakapan Biasa,Tidak Berisiko
assalamualaikum bapak jadi kapan listrik kembali membaik sepenuh???,Informasi Umum,Tidak Berisiko
"gamau maafin, semalem aku tidur was² gara² abis nonton horor",Percakapan Biasa,Tidak Berisiko
preet,Percakapan Biasa,Tidak Berisiko
Lampunggg juga woi,Percakapan Biasa,Tidak Berisiko
"🫠pak WC ku kesumbak loe gara, mate lampu",Percakapan Biasa,Tidak Berisiko
"gara gara listrik rambutku belum selesai pangkas ,baru sebelah ,anjirrrr kalian",Informasi Umum,Tidak Berisiko
"Gamau maafin, info loker dulu yang langsung kerja😌",Percakapan Biasa,Tidak Berisiko
[Stiker] Gw sampai pending masak,Percakapan Biasa,Tidak Berisiko
[Stiker] gamau maapin aku tidur bangun ny sampek keringatan basah,Percakapan Biasa,Tidak Berisiko
Sampe Lampung bapak minta maaf nya,Percakapan Biasa,Tidak Berisiko
pakkkk mati lampu lagii nihh loo😭🙏🏻,Kata Kasar & Ancaman,Berisiko
kapan hidup ny pak di daerah kami,Percakapan Biasa,Tidak Berisiko
kalau bejabat mintak maaf rayat kecil bisa maafkan. tapi kalau rakyat kecil mintak maaf. di maafkan enggak ? itu aja . simpel kan 😂,Percakapan Biasa,Tidak Berisiko
"gmau maapin,cpe gue angkat ember,mandi keringat emosi bgt",Percakapan Biasa,Tidak Berisiko
berapa ton yang masuk pak😂,Percakapan Biasa,Tidak Berisiko
"aneh ya,, kenapa bisa menyeluruh, dan jg jaringan pun padam.
apalah ulah Kelen pak???",Percakapan Biasa,Tidak Berisiko
taunya minta maaf,Percakapan Biasa,Tidak Berisiko
"ga mau ah, ga cuma listrik yg mati jaringan juga IH",Informasi Umum,Tidak Berisiko
"maaf nya lebaran aja pak😳
tadi malam saya cebok pakai air minum.",Percakapan Biasa,Tidak Berisiko
GA PDAM GA PLN SAMA AJA!!!,Informasi Umum,Tidak Berisiko
"eh ini mati lagi lampu nya dari siang,sampe sekarang belom idup😭",Kata Kasar & Ancaman,Berisiko
"[Stiker] baru bgt hidup ini
seharian aku nih kepanasan pak
ga mau tau jajanin ice cream",Percakapan Biasa,Tidak Berisiko
akibat salah pilih pemimpin,Percakapan Biasa,Tidak Berisiko
giliran terlambat bayar di denda....lambat sedikit di putus....heduh....,Transaksi Aman,Tidak Berisiko
ikan gw mati semua cuk😫,Percakapan Biasa,Tidak Berisiko
dah mati lampu lagi,Percakapan Biasa,Tidak Berisiko
palembang ngk mintak maaf,Percakapan Biasa,Tidak Berisiko
gamaoo maapin,Percakapan Biasa,Tidak Berisiko
"maaf Mulu
gak da jalan keluarY
tiap bulan bayar tagihan listrik mahal TPI pelayanan setengah gila....",Transaksi Aman,Tidak Berisiko
Pakk apa gunanya minta maaf klo harga listrik tetap mahal..,Informasi Umum,Tidak Berisiko
"kalau kita telat bayar langsung diputus, gaada tu maaf maaf 🤣",Transaksi Aman,Tidak Berisiko
minta maaf doang? minta korting dong bayar bulan depan,Transaksi Aman,Tidak Berisiko
Lampung Utara mati lgi boss,Percakapan Biasa,Tidak Berisiko
